Company,TypeName,Cpu,Ram,Weight,Price,Touchscreen,IPS,ppi,HDD,SSD,Gpu brand,OS
Microsoft,Ultrabook,Intel Core i5,4,1.252,58021.92,Yes,No,200.84255993695703,0,128,Intel,Windows
Dell,Ultrabook,Intel Core i7,8,1.4,50882.4,No,Yes,165.6321180513006,0,256,AMD,Windows
Dell,Notebook,Intel Core i7,8,2.2,46353.6,No,No,141.21199808219862,0,256,AMD,Windows
MSI,Gaming,Intel Core i5,8,2.7,58341.6,No,No,127.33567457123111,1000,128,Nvidia,Windows
Acer,Notebook,Intel Core i3,8,2.1,20725.92,No,No,111.93520355955211,1000,0,Intel,Windows
Asus,Gaming,Intel Core i7,8,2.2,50562.72,No,No,141.21199808219862,1000,0,Nvidia,Windows
Lenovo,Notebook,Intel Core i5,8,2.2,27652.32,No,No,141.21199808219862,2000,0,Intel,Other OS
Dell,Notebook,Intel Core i7,8,2.02,45554.4,No,No,141.21199808219862,1000,128,Intel,Windows
Acer,Notebook,Intel Core i3,4,2.2,28238.4,No,No,141.21199808219862,1000,0,Nvidia,Windows
HP,Notebook,Intel Core i5,8,2.5,52054.56,No,No,127.33567457123111,1000,128,Nvidia,Windows
Dell,Ultrabook,Intel Core i5,8,1.88,58403.4048,No,Yes,141.21199808219862,0,256,Intel,Windows
Apple,Ultrabook,Intel Core i5,8,0.92,80452.8,No,Yes,226.41554716935852,0,512,Intel,Mac
HP,Notebook,Intel Core i5,8,1.63,45820.8,No,No,157.3505121487356,0,256,Intel,Windows
Lenovo,Notebook,AMD Processor,4,2.2,21258.72,No,No,141.21199808219862,0,128,AMD,Windows
Acer,Notebook,AMD Processor,4,2.1,21045.6,No,No,100.45466986113651,1000,0,AMD,Windows
Dell,Gaming,Intel Core i7,16,2.65,71874.72,No,Yes,141.21199808219862,1000,128,Nvidia,Windows
HP,Ultrabook,Intel Core i7,8,1.83,37242.72,No,Yes,141.21199808219862,0,256,Nvidia,Windows
HP,Notebook,Intel Core i5,8,1.96,31914.1872,No,No,141.21199808219862,0,256,Intel,Windows
Asus,Gaming,Intel Core i7,16,2.2,77202.72,No,Yes,141.21199808219862,1000,128,Nvidia,Windows
Dell,Ultrabook,Intel Core i7,8,1.21,87858.72,No,Yes,165.6321180513006,0,256,Intel,Windows
Asus,Gaming,AMD Processor,8,2.45,37242.72,No,No,141.21199808219862,1000,0,AMD,Windows
Acer,Notebook,Intel Core i7,8,2.2,36709.92,No,No,141.21199808219862,1000,0,Nvidia,Windows
HP,Notebook,Intel Core i7,16,1.49,63776.16,No,No,165.6321180513006,0,512,Intel,Windows
Dell,Gaming,Intel Core i5,8,2.65,63669.6,No,No,141.21199808219862,0,256,Nvidia,Windows
Asus,Ultrabook,Intel Core i7,8,1.25,55890.72,No,No,157.3505121487356,0,256,Intel,Windows
Acer,2 in 1 Convertible,Intel Core i5,8,1.5,45128.16,Yes,Yes,165.6321180513006,0,256,Intel,Windows
Dell,Notebook,Intel Core i7,8,2.2,31962.672,No,No,141.21199808219862,1000,0,AMD,Linux
Dell,Notebook,Intel Core i3,4,2.2,25840.8,No,No,141.21199808219862,0,256,AMD,Linux
Asus,Notebook,Intel Core i3,6,2.0,30742.56,No,No,141.21199808219862,0,256,Nvidia,Windows
HP,Gaming,Intel Core i7,12,2.62,66546.72,No,Yes,141.21199808219862,1000,128,Nvidia,Windows
HP,Notebook,Intel Core i7,8,1.91,38308.32,No,No,141.21199808219862,0,256,AMD,Windows
HP,Notebook,AMD Processor,4,2.1,18594.72,No,No,141.21199808219862,500,0,AMD,Windows
Dell,Notebook,Intel Core i5,8,2.2,34472.16,No,No,141.21199808219862,1000,0,AMD,Linux
HP,Ultrabook,Intel Core i7,8,1.38,59620.32,No,Yes,165.6321180513006,0,256,Nvidia,Windows
Microsoft,Ultrabook,Intel Core i5,8,1.252,71395.2,Yes,No,200.84255993695703,0,256,Intel,Windows
HP,Notebook,Intel Core i5,6,1.58,35111.52,No,Yes,157.3505121487356,0,256,Nvidia,Windows
Lenovo,Notebook,Intel Core i3,4,1.85,22105.872,No,No,141.21199808219862,1000,0,Intel,Windows
Asus,Ultrabook,Intel Core i7,8,1.3,63563.04,No,Yes,157.3505121487356,0,256,Nvidia,Windows
MSI,Gaming,Intel Core i7,16,2.2,69210.72,No,No,141.21199808219862,1000,256,Nvidia,Windows
Lenovo,Notebook,Intel Core i7,8,1.58,78854.4,No,Yes,157.3505121487356,0,256,Intel,Windows
Asus,Ultrabook,Intel Core i7,16,1.5,67239.36,No,No,141.21199808219862,1000,256,Nvidia,Windows
Dell,Ultrabook,Intel Core i7,8,1.23,73473.12,Yes,No,276.053530085501,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,Intel Core i5,8,1.37,74538.72,Yes,Yes,165.6321180513006,0,256,Intel,Windows
HP,Notebook,Intel Core i5,4,1.63,38468.16,No,Yes,111.93520355955211,500,0,Intel,Windows
Dell,Ultrabook,Intel Core i5,8,1.21,86793.12,No,Yes,165.6321180513006,0,256,Intel,Windows
HP,2 in 1 Convertible,Intel Core i5,8,1.26,74538.1872,Yes,Yes,165.6321180513006,0,256,Intel,Windows
HP,Notebook,Intel Core i7,8,1.63,57755.52,No,No,157.3505121487356,0,512,Intel,Windows
Dell,Notebook,Intel Core i7,8,2.16,60223.9824,No,Yes,141.21199808219862,1000,256,Nvidia,Windows
Asus,Notebook,Intel Core i3,4,2.0,30049.92,No,No,127.33567457123111,1000,0,Nvidia,Windows
Asus,Notebook,Intel Core i7,8,1.7,59567.04,No,No,141.21199808219862,0,256,Nvidia,Windows
Acer,Notebook,Intel Core i3,6,2.1,25521.12,Yes,Yes,141.21199808219862,1000,0,Intel,Windows
MSI,Gaming,Intel Core i7,16,1.8,119427.12,No,No,141.21199808219862,2000,256,Nvidia,Windows
Lenovo,Notebook,Intel Core i5,8,2.2,33513.12,No,No,141.21199808219862,0,256,Nvidia,Other OS
HP,Notebook,Intel Core i7,16,2.5,67718.88,No,No,127.33567457123111,0,512,Nvidia,Windows
Acer,Notebook,AMD Processor,4,2.1,24029.28,No,No,100.45466986113651,0,256,AMD,Windows
HP,Notebook,Other Intel Processor,4,1.86,13799.52,No,No,100.45466986113651,500,0,Intel,Other OS
HP,Notebook,Intel Core i5,8,1.63,43263.36,No,No,157.3505121487356,1000,0,Intel,Windows
Asus,Notebook,AMD Processor,4,1.65,14811.3072,No,No,111.93520355955211,0,64,AMD,Windows
Dell,Notebook,Intel Core i7,16,2.8,74378.88,No,No,127.33567457123111,2000,256,AMD,Windows
HP,Notebook,Intel Core i5,8,2.5,49443.84,No,No,127.33567457123111,0,256,Intel,Windows
Dell,Notebook,Intel Core i5,8,2.36,34045.3872,No,No,100.45466986113651,1000,0,AMD,Windows
Dell,Notebook,Intel Core i3,4,2.2,23922.72,No,No,141.21199808219862,1000,0,AMD,Windows
Acer,Ultrabook,Intel Core i7,8,1.6,47099.52,No,Yes,157.3505121487356,0,256,Intel,Windows
Acer,Notebook,Intel Core i3,4,2.2,30476.16,No,No,141.21199808219862,0,256,Nvidia,Windows
HP,Notebook,Intel Core i7,8,2.05,31861.44,No,No,100.45466986113651,1000,0,Intel,Windows
HP,Notebook,Intel Core i7,8,1.63,52640.64,No,No,157.3505121487356,0,256,Intel,Windows
Lenovo,Notebook,Other Intel Processor,4,1.9,13445.7408,No,No,100.45466986113651,1000,0,Intel,Other OS
Asus,Gaming,Intel Core i5,8,3.0,49976.64,No,No,127.33567457123111,1000,128,Nvidia,Windows
Lenovo,Notebook,Intel Core i5,4,2.2,26586.72,No,No,141.21199808219862,1000,0,Nvidia,Other OS
HP,Notebook,Intel Core i5,4,1.32,37242.72,No,Yes,165.6321180513006,0,256,Intel,Windows
Acer,Notebook,Intel Core i3,4,3.0,34898.4,No,Yes,127.33567457123111,1000,0,Nvidia,Windows
Lenovo,Notebook,Intel Core i5,8,1.75,59461.5456,No,Yes,157.3505121487356,0,256,AMD,Windows
Lenovo,Gaming,Intel Core i7,8,2.4,46300.32,No,Yes,141.21199808219862,0,256,Nvidia,Other OS
Toshiba,Notebook,Intel Core i5,4,2.1,32074.56,No,No,100.45466986113651,500,0,Intel,Windows
HP,Notebook,AMD Processor,4,1.86,19660.32,No,No,100.45466986113651,0,256,AMD,Windows
Asus,Ultrabook,Intel Core i7,8,1.25,58554.72,No,No,157.3505121487356,0,256,Intel,Windows
HP,Ultrabook,Other Intel Processor,8,0.97,107305.92,Yes,Yes,352.4651472131677,0,512,Intel,Windows
Asus,Notebook,Other Intel Processor,4,2.0,18328.32,No,No,141.21199808219862,1000,0,Intel,Windows
MSI,Gaming,Intel Core i7,16,2.9,108105.12,No,No,127.33567457123111,1000,256,Nvidia,Windows
Acer,Notebook,Intel Core i3,4,2.1,23816.16,No,No,100.45466986113651,1000,0,Intel,Windows
Dell,Gaming,Intel Core i7,16,2.56,66560.5728,No,No,141.21199808219862,0,512,Nvidia,Windows
Dell,Gaming,Intel Core i7,8,2.62,47898.72,No,No,141.21199808219862,0,0,Nvidia,Windows
Lenovo,Notebook,Intel Core i5,4,1.9,26533.44,No,No,100.45466986113651,0,128,Intel,Windows
MSI,Gaming,Intel Core i7,16,2.8,100699.2,No,No,127.33567457123111,1000,256,Nvidia,Windows
HP,Ultrabook,Intel Core i5,4,1.48,57648.96,No,No,157.3505121487356,0,256,Intel,Windows
HP,Notebook,Intel Core i5,6,1.91,32980.32,No,No,141.21199808219862,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,Intel Core i3,4,1.74,33513.12,Yes,Yes,157.3505121487356,0,256,Intel,Windows
Asus,2 in 1 Convertible,Intel Core i5,8,1.1,70063.2,Yes,No,165.6321180513006,0,256,Intel,Windows
Dell,2 in 1 Convertible,Intel Core i7,8,1.56,55890.72,Yes,No,141.21199808219862,0,256,Intel,Windows
Toshiba,Notebook,Intel Core i3,4,2.1,23816.16,No,No,100.45466986113651,500,0,Intel,Windows
Asus,Notebook,AMD Processor,4,2.03,21471.84,No,No,100.45466986113651,1000,0,AMD,Windows
Acer,Notebook,Intel Core i5,4,3.0,42890.4,No,Yes,127.33567457123111,0,256,Nvidia,Windows
Dell,Notebook,Intel Core i5,8,2.13,38787.84,No,No,141.21199808219862,0,256,AMD,Windows
Lenovo,Gaming,Intel Core i7,16,2.5,57489.12,No,Yes,141.21199808219862,0,256,Nvidia,Windows
Acer,Notebook,Other Intel Processor,4,2.1,18541.44,No,No,100.45466986113651,1000,0,Intel,Windows
MSI,Gaming,Intel Core i7,16,2.4,95850.72,No,Yes,141.21199808219862,1000,256,Nvidia,Windows
Acer,Notebook,Other Intel Processor,4,2.1,19367.8128,No,No,100.45466986113651,1000,0,Intel,Windows
Dell,Gaming,Intel Core i7,8,2.56,56502.9072,No,No,141.21199808219862,1000,128,Nvidia,Windows
Acer,Notebook,Intel Core i5,8,3.0,45501.12,No,Yes,127.33567457123111,0,256,Nvidia,Windows
HP,Notebook,Intel Core i5,4,1.49,40173.12,No,Yes,165.6321180513006,500,0,Intel,Windows
Huawei,Ultrabook,Intel Core i5,8,1.05,71874.72,No,Yes,199.69207064108247,0,256,Intel,Windows
HP,Notebook,Intel Core i5,6,2.71,37242.72,No,Yes,127.33567457123111,2000,0,AMD,Windows
Lenovo,Notebook,AMD Processor,4,2.2,16463.52,No,No,100.45466986113651,500,0,AMD,Other OS
Toshiba,Notebook,Intel Core i3,4,2.0,26053.92,No,No,100.45466986113651,500,0,Intel,Windows
HP,Notebook,Intel Core i5,8,2.5,49177.44,No,No,127.33567457123111,0,256,Nvidia,Windows
Dell,Notebook,Intel Core i3,8,2.3,24455.52,No,No,100.45466986113651,1000,0,Intel,Windows
Acer,Notebook,Intel Core i3,4,2.1,23922.72,No,No,100.45466986113651,0,128,Intel,Windows
MSI,Gaming,Intel Core i7,32,4.4,149130.72,No,No,119.7232157653423,1000,512,Nvidia,Windows
Lenovo,Notebook,Intel Core i5,8,1.9,43316.64,No,No,141.21199808219862,1000,128,AMD,Windows
HP,2 in 1 Convertible,Intel Core i5,8,1.29,79866.72,Yes,Yes,331.2642361026012,0,256,Intel,Windows
Dell,Notebook,Intel Core i7,16,2.02,55890.72,No,No,141.21199808219862,2000,256,AMD,Linux
Dell,Ultrabook,Intel Core i5,8,1.23,74538.72,No,No,165.6321180513006,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,Intel Core i7,16,1.4,98514.72,Yes,Yes,316.96506044349616,0,512,Intel,Windows
Toshiba,Notebook,Intel Core i5,8,2.0,42251.04,No,No,100.45466986113651,0,128,Intel,Windows
Xiaomi,Notebook,Intel Core i5,8,1.95,63882.72,No,Yes,141.21199808219862,0,256,Nvidia,Other OS
Dell,Notebook,Intel Core i7,16,2.77,82530.72,Yes,No,127.33567457123111,0,512,Nvidia,Windows
Dell,Notebook,Intel Core i7,16,2.06,127712.16,Yes,No,282.42399616439724,0,512,Nvidia,Windows
Lenovo,Gaming,Intel Core i5,8,2.4,41505.12,No,Yes,141.21199808219862,0,256,Nvidia,Other OS
Acer,Ultrabook,Intel Core i5,8,1.12,52693.92,No,Yes,165.6321180513006,0,256,Intel,Windows
Dell,Notebook,Intel Core i7,8,2.8,57808.8,No,No,127.33567457123111,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,Intel Core i7,16,1.42,150462.72,Yes,No,209.8006828649808,0,1000,Intel,Windows
Vero,Notebook,Other Intel Processor,4,1.3,13852.8,No,Yes,157.3505121487356,0,0,Intel,Windows
Xiaomi,Ultrabook,Intel Core i5,8,1.3,53274.672,No,Yes,165.6321180513006,0,256,Nvidia,Other OS
Lenovo,Notebook,Intel Core i5,8,2.8,37189.44,No,No,106.11306214269258,0,256,Nvidia,Other OS
Dell,2 in 1 Convertible,Intel Core i7,8,1.62,44701.92,Yes,Yes,165.6321180513006,1000,0,Intel,Windows
HP,Notebook,Intel Core i5,8,2.5,48697.92,No,Yes,127.33567457123111,1000,0,Nvidia,Windows
Razer,Gaming,Intel Core i7,32,3.49,324954.72,Yes,No,254.67134914246222,0,1000,Nvidia,Windows
HP,Notebook,Intel Core i5,8,1.49,51095.52,No,No,165.6321180513006,0,512,Intel,Windows
HP,Gaming,Intel Core i7,16,3.35,73473.12,No,Yes,127.33567457123111,1000,256,Nvidia,Windows
HP,Notebook,Intel Core i7,8,2.5,55677.6,No,No,127.33567457123111,0,256,Nvidia,Windows
Dell,Gaming,Intel Core i7,16,2.65,98301.6,No,Yes,282.42399616439724,1000,512,Nvidia,Windows
Lenovo,Notebook,Intel Core i5,4,2.1,26267.04,No,No,100.45466986113651,0,128,Intel,Windows
Acer,Notebook,Intel Core i7,8,2.23,39533.76,No,No,141.21199808219862,1000,0,Nvidia,Windows
Lenovo,Gaming,Intel Core i7,16,3.2,93186.72,No,Yes,141.21199808219862,1000,512,Nvidia,Windows
Dell,Workstation,Other Intel Processor,16,2.8,162770.4,No,No,282.42399616439724,1000,256,Nvidia,Windows
Lenovo,Gaming,Intel Core i7,16,2.4,74485.44,No,No,141.21199808219862,0,512,Nvidia,Other OS
Dell,Notebook,Intel Core i3,6,2.3,23389.92,Yes,No,100.45466986113651,1000,0,Intel,Windows
Dell,Ultrabook,Intel Core i7,8,1.21,103842.72,Yes,Yes,331.2642361026012,0,256,Intel,Windows
Dell,Ultrabook,Intel Core i7,8,1.2,77202.72,No,No,165.6321180513006,0,256,Intel,Windows
Lenovo,Notebook,Intel Core i5,8,2.2,31808.16,No,No,100.45466986113651,0,256,Intel,Windows
Acer,Notebook,Intel Core i7,8,2.4,41505.12,No,No,141.21199808219862,1000,0,Nvidia,Linux
Asus,Gaming,Intel Core i7,16,2.9,74964.96,No,No,127.33567457123111,1000,256,Nvidia,Windows
HP,Notebook,Intel Core i3,4,2.1,18594.72,No,No,141.21199808219862,500,0,Intel,Other OS
Lenovo,Notebook,Intel Core i5,8,2.2,29250.72,No,No,141.21199808219862,0,256,Intel,Other OS
Huawei,Ultrabook,Intel Core i7,8,1.05,79866.72,No,Yes,199.69207064108247,0,512,Intel,Windows
Dell,Ultrabook,Intel Core i7,8,1.4,49650.5664,No,Yes,165.6321180513006,0,256,AMD,Windows
Lenovo,Notebook,Intel Core i5,8,2.8,31381.92,No,No,106.11306214269258,1000,0,Nvidia,Other OS
HP,Notebook,Intel Core i7,8,1.63,54931.68,No,No,157.3505121487356,0,256,Nvidia,Windows
Dell,Ultrabook,Intel Core i5,8,1.6,61218.72,No,No,157.3505121487356,0,256,Intel,Windows
Dell,2 in 1 Convertible,Intel Core i7,16,1.62,68145.12,Yes,No,165.6321180513006,0,512,Intel,Windows
Dell,Notebook,Intel Core i5,8,2.2,36089.208,No,No,141.21199808219862,0,256,AMD,Linux
Lenovo,2 in 1 Convertible,Intel Core i5,8,1.74,47898.72,No,Yes,157.3505121487356,0,256,Intel,Windows
Toshiba,Ultrabook,Intel Core i7,8,1.2,72620.64,No,No,165.6321180513006,0,256,Intel,Windows
HP,Notebook,Intel Core i5,8,2.1,42304.32,No,No,141.21199808219862,1000,0,Intel,Windows
Dell,Gaming,Intel Core i7,16,4.42,130873.7952,No,Yes,127.33567457123111,1000,256,Nvidia,Windows
Acer,Notebook,Intel Core i7,8,2.2,44328.96,No,No,141.21199808219862,0,256,Nvidia,Windows
Dell,Notebook,Intel Core i7,16,2.3,45768.0528,Yes,No,141.21199808219862,1000,0,AMD,Windows
Asus,Notebook,Intel Core i5,8,2.0,40972.32,No,No,141.21199808219862,0,256,Nvidia,Windows
Asus,Notebook,Intel Core i5,8,2.69,47472.48,No,No,127.33567457123111,500,256,Nvidia,Windows
HP,Notebook,Intel Core i7,8,1.9,67612.32,No,No,141.21199808219862,1000,0,AMD,Windows
Asus,Notebook,Intel Core i3,4,2.37,21258.1872,No,No,100.45466986113651,1000,0,Intel,Windows
HP,Notebook,AMD Processor,4,2.1,17582.4,No,No,100.45466986113651,500,0,AMD,Windows
Lenovo,Gaming,Intel Core i7,16,3.2,79866.72,No,Yes,141.21199808219862,1000,256,Nvidia,Windows
Dell,Notebook,Intel Core i5,8,1.6,45767.52,No,No,157.3505121487356,0,256,Intel,Windows
Acer,2 in 1 Convertible,Intel Core i5,8,1.6,36709.92,Yes,Yes,165.6321180513006,0,256,Intel,Windows
Dell,Notebook,Intel Core i7,16,2.36,47898.72,No,No,141.21199808219862,0,256,AMD,Linux
Acer,Notebook,Intel Core i3,4,2.1,20779.2,No,No,100.45466986113651,1000,0,Intel,Linux
Asus,Notebook,AMD Processor,4,2.2,30636.0,No,No,141.21199808219862,1000,128,AMD,Windows
Asus,Gaming,Intel Core i7,32,4.7,207259.2,No,No,127.33567457123111,1000,512,Nvidia,Windows
Acer,Gaming,Intel Core i5,8,2.5,45074.88,No,Yes,141.21199808219862,0,256,Nvidia,Windows
Lenovo,Notebook,Intel Core i3,8,2.2,31381.92,No,No,100.45466986113651,0,128,Intel,Windows
Asus,Notebook,Intel Core i7,8,2.1,61005.6,No,No,127.33567457123111,1000,128,Nvidia,Windows
Asus,Notebook,Intel Core i7,8,2.69,47365.92,No,No,127.33567457123111,1000,128,Nvidia,Other OS
Dell,Gaming,Intel Core i5,8,2.56,46833.12,No,No,141.21199808219862,0,256,Nvidia,Windows
Lenovo,2 in 1 Convertible,Intel Core i7,8,1.38,57489.12,Yes,Yes,158.48253022174808,0,256,Intel,Windows
Dell,Notebook,Intel Core i7,8,2.2,52480.8,No,No,141.21199808219862,2000,128,AMD,Windows
HP,Notebook,Intel Core i5,8,2.04,29783.52,Yes,No,100.45466986113651,1000,0,Intel,Windows
Asus,Gaming,Intel Core i7,16,3.6,159786.72,No,No,127.33567457123111,0,256,Nvidia,Windows
HP,Notebook,Intel Core i5,4,1.49,35964.0,No,Yes,165.6321180513006,500,0,Intel,Windows
Apple,Ultrabook,Intel Core i5,8,1.37,108691.2,No,Yes,226.98300468106115,0,512,Intel,Mac
Dell,2 in 1 Convertible,Intel Core i7,8,2.08,43636.32,Yes,Yes,141.21199808219862,1000,0,Intel,Windows
